"company","address_line_1","city","zipcode","naics8_descriptions","employee_size_location","sales_volume_location","state"
"HYDE STREET BISTRO","1521 HYDE ST","SAN FRANCISCO",94109,"FULL-SERVICE RESTAURANTS",7,499,"CA"
"CANELA","2272 MARKET ST","SAN FRANCISCO",94114,"FULL-SERVICE RESTAURANTS",10,712,"CA"
"LA MEDITERRANEE","288 NOE ST","SAN FRANCISCO",94114,"FULL-SERVICE RESTAURANTS",22,1566,"CA"
"SLICE PIZZA","719 14TH ST","SAN FRANCISCO",94114,"FULL-SERVICE RESTAURANTS",7,499,"CA"
"EL CASTILLITO","136 CHURCH ST","SAN FRANCISCO",94114,"FULL-SERVICE RESTAURANTS",3,214,"CA"
"BURGERMEISTER","138 CHURCH ST","SAN FRANCISCO",94114,"FULL-SERVICE RESTAURANTS",6,427,"CA"
"CATCH","2362 MARKET ST","SAN FRANCISCO",94114,"FULL-SERVICE RESTAURANTS",40,2847,"CA"
"AMASIA HIDES SUSHI BAR","149 NOE ST","SAN FRANCISCO",94114,"FULL-SERVICE RESTAURANTS",4,285,"CA"
"THICK & THIN PIZZA","3600 16TH ST # 2","SAN FRANCISCO",94114,"FULL-SERVICE RESTAURANTS",6,427,"CA"
"SUPER DUPER BURGERS","2304 MARKET ST","SAN FRANCISCO",94114,"FULL-SERVICE RESTAURANTS",10,712,"CA"
"JASMINE GARDEN","708 14TH ST","SAN FRANCISCO",94114,"FULL-SERVICE RESTAURANTS",6,427,"CA"
"COMIDA FINA","2312 MARKET ST","SAN FRANCISCO",94114,"FULL-SERVICE RESTAURANTS",6,427,"CA"
"SQUAT & GOBBLE","3600 16TH ST # 1","SAN FRANCISCO",94114,"FULL-SERVICE RESTAURANTS",11,783,"CA"
"L'ARDOISE","151 NOE ST","SAN FRANCISCO",94114,"FULL-SERVICE RESTAURANTS",10,712,"CA"
"CASA MEXICANA I","180 CHURCH ST","SAN FRANCISCO",94114,"FULL-SERVICE RESTAURANTS",6,427,"CA"
"HECHO","2200 MARKET ST","SAN FRANCISCO",94114,"FULL-SERVICE RESTAURANTS",6,427,"CA"
"FLORE","2298 MARKET ST","SAN FRANCISCO",94114,"FULL-SERVICE RESTAURANTS",6,0,"CA"
"CATHAY EXPRESS RESTAURANT","720 14TH ST","SAN FRANCISCO",94114,"FULL-SERVICE RESTAURANTS",4,285,"CA"
"TWO JACKS SEAFOOD","984 GILMAN AVE","SAN FRANCISCO",94124,"FULL-SERVICE RESTAURANTS",3,214,"CA"
"MARTHITA'S RESTAURANT","1401 EGBERT AVE","SAN FRANCISCO",94124,"FULL-SERVICE RESTAURANTS",6,427,"CA"
"NOODLE BELLY LLC","1426 DONNER AVE","SAN FRANCISCO",94124,"FULL-SERVICE RESTAURANTS",6,427,"CA"
"SHUN LEE INC","1401 ARMSTRONG AVE","SAN FRANCISCO",94124,"FULL-SERVICE RESTAURANTS",7,499,"CA"
"AMICI'S EAST COAST PIZZERIA","216 KING ST","SAN FRANCISCO",94107,"FULL-SERVICE RESTAURANTS",40,2847,"CA"
"SUBWAY","700 4TH ST # 3","SAN FRANCISCO",94107,"FULL-SERVICE RESTAURANTS",10,712,"CA"
"CAFFE PAZZO","2 HENRY ADAMS ST","SAN FRANCISCO",94103,"FULL-SERVICE RESTAURANTS",4,285,"CA"
"TAZZA D' AMORE","700 4TH ST","SAN FRANCISCO",94107,"FULL-SERVICE RESTAURANTS",5,356,"CA"
"SKOOL RESTAURANT","1725 ALAMEDA ST","SAN FRANCISCO",94103,"FULL-SERVICE RESTAURANTS",10,712,"CA"
"TSUNAMI SUSHI MISSION BAY","301 KING ST # B","SAN FRANCISCO",94158,"FULL-SERVICE RESTAURANTS",7,499,"CA"
"ECONOMY RESTAURANT FIXTURES","1200 7TH ST","SAN FRANCISCO",94107,"FULL-SERVICE RESTAURANTS",50,3559,"CA"
"PEDRO'S CANTINA","128 KING ST","SAN FRANCISCO",94107,"FULL-SERVICE RESTAURANTS",60,4270,"CA"
"CAFE MOCHA","505 BRYANT ST","SAN FRANCISCO",94107,"FULL-SERVICE RESTAURANTS",6,427,"CA"
"UMAMI BURGER","242 KING ST","SAN FRANCISCO",94107,"FULL-SERVICE RESTAURANTS",33,2349,"CA"
"SHABU BAR","219 KING ST","SAN FRANCISCO",94107,"FULL-SERVICE RESTAURANTS",6,427,"CA"
"DOS PINAS TAQUERIA","251 RHODE ISLAND ST # 102","SAN FRANCISCO",94103,"FULL-SERVICE RESTAURANTS",39,2776,"CA"
"LIBERTY CHEESESTEAK","330 BERRY ST","SAN FRANCISCO",94158,"FULL-SERVICE RESTAURANTS",6,427,"CA"
"OMAKASE","665 TOWNSEND ST","SAN FRANCISCO",94103,"FULL-SERVICE RESTAURANTS",6,427,"CA"
"A2 CAFE","450 IRWIN ST","SAN FRANCISCO",94107,"FULL-SERVICE RESTAURANTS",6,427,"CA"
"PUBLIC HOUSE","24 WILLIE MAYS PLZ","SAN FRANCISCO",94107,"FULL-SERVICE RESTAURANTS",80,5694,"CA"
"CROSSROADS CAFE","699 DELANCEY ST","SAN FRANCISCO",94107,"FULL-SERVICE RESTAURANTS",12,854,"CA"
"NAMA","227 KING ST","SAN FRANCISCO",94107,"FULL-SERVICE RESTAURANTS",12,854,"CA"
"HOLY GRILL","659 TOWNSEND ST","SAN FRANCISCO",94103,"FULL-SERVICE RESTAURANTS",6,427,"CA"
"PANERA BREAD","301 KING ST","SAN FRANCISCO",94158,"FULL-SERVICE RESTAURANTS",35,2491,"CA"
"PETE'S TAVERN","128 KING ST","SAN FRANCISCO",94107,"FULL-SERVICE RESTAURANTS",10,712,"CA"
"SUBWAY","550B GENE FRIEND WAY","SAN FRANCISCO",94158,"FULL-SERVICE RESTAURANTS",4,285,"CA"
"SAFFRON 685 MEDITERRANEAN","685 TOWNSEND ST","SAN FRANCISCO",94103,"FULL-SERVICE RESTAURANTS",3,214,"CA"
"SALLY'S RESTAURANT","300 DE HARO ST # 320","SAN FRANCISCO",94103,"FULL-SERVICE RESTAURANTS",7,499,"CA"
"PUBLICO URBAN TAQUERIA","550 GENE FRIEND WAY # A","SAN FRANCISCO",94158,"FULL-SERVICE RESTAURANTS",6,427,"CA"
"TENDER GREENS","266 KING ST","SAN FRANCISCO",94107,"FULL-SERVICE RESTAURANTS",6,427,"CA"
"ODA","1500 OWENS ST","SAN FRANCISCO",94158,"FULL-SERVICE RESTAURANTS",6,427,"CA"
"SUBWAY","177 TOWNSEND ST # 131","SAN FRANCISCO",94107,"FULL-SERVICE RESTAURANTS",8,570,"CA"
"GOLDEN BEAR RESTAURANTS","760 2ND ST","SAN FRANCISCO",94107,"FULL-SERVICE RESTAURANTS",6,427,"CA"
"MISSION BAY FOODS","550 GENE FRIEND WAY # A","SAN FRANCISCO",94158,"FULL-SERVICE RESTAURANTS",6,427,"CA"
"HIDDEN DRAGON","225 KING ST # 502","SAN FRANCISCO",94107,"FULL-SERVICE RESTAURANTS",6,427,"CA"
"TACO BELL CANTINA","710 3RD ST","SAN FRANCISCO",94107,"FULL-SERVICE RESTAURANTS",20,1424,"CA"
"ATWATER TAVERN","295 TERRY A FRANCOIS BLVD","SAN FRANCISCO",94158,"FULL-SERVICE RESTAURANTS",6,427,"CA"
"SAAP VER LLC","88 DIVISION ST","SAN FRANCISCO",94103,"FULL-SERVICE RESTAURANTS",6,427,"CA"
"SUSHI KANJI LLC","330 BERRY ST # 227","SAN FRANCISCO",94158,"FULL-SERVICE RESTAURANTS",6,427,"CA"
"GILBERTH'S ROTISSERIE & GRILL","2427-2429 3RD ST","SAN FRANCISCO",94107,"FULL-SERVICE RESTAURANTS",6,427,"CA"
"CREPERIE ST GERMAIN","100 TERRY A FRANCOIS BLVD","SAN FRANCISCO",94158,"FULL-SERVICE RESTAURANTS",6,427,"CA"
"DUMPLING TIME","11 DIVISION ST # 25","SAN FRANCISCO",94103,"FULL-SERVICE RESTAURANTS",6,427,"CA"
"CASEY'S PIZZA","1170 4TH ST","SAN FRANCISCO",94158,"FULL-SERVICE RESTAURANTS",6,427,"CA"
"ORGANIC COUP","24 WILLIE MAYS PLZ","SAN FRANCISCO",94107,"FULL-SERVICE RESTAURANTS",6,427,"CA"
"I'A POKE","684 KING ST","SAN FRANCISCO",94107,"FULL-SERVICE RESTAURANTS",5,356,"CA"
"NAAN CURRY","737 3RD ST","SAN FRANCISCO",94107,"FULL-SERVICE RESTAURANTS",6,427,"CA"
"TRUE LIFE EATING","500 TERRY A FRANCOIS BLVD","SAN FRANCISCO",94158,"FULL-SERVICE RESTAURANTS",6,427,"CA"
"SUPER DUPER BURGER","24 WILLIE MAYS PLZ","SAN FRANCISCO",94107,"FULL-SERVICE RESTAURANTS",6,427,"CA"
"MOMO NOODLE","","SAN FRANCISCO",94158,"FULL-SERVICE RESTAURANTS",6,NA,"CA"
"MOMO'S","760 2ND ST","SAN FRANCISCO",94107,"FULL-SERVICE RESTAURANTS",70,4982,"CA"
"HOLY KITCHEN","4166 24TH ST","SAN FRANCISCO",94114,"FULL-SERVICE RESTAURANTS",6,427,"CA"
"BARNEY'S RESTAURANT","4138 24TH ST","SAN FRANCISCO",94114,"FULL-SERVICE RESTAURANTS",18,1281,"CA"
"FIREFLY RESTAURANT","4288 24TH ST","SAN FRANCISCO",94114,"FULL-SERVICE RESTAURANTS",30,2135,"CA"
"BACCO RISTORANTE","737 DIAMOND ST","SAN FRANCISCO",94114,"FULL-SERVICE RESTAURANTS",8,570,"CA"
"PIZZA LOVE","4272 23RD ST","SAN FRANCISCO",94114,"FULL-SERVICE RESTAURANTS",6,427,"CA"
"AKIKO SUSHI BAR","542 MASON ST # A","SAN FRANCISCO",94102,"FULL-SERVICE RESTAURANTS",3,214,"CA"
"RYOKO'S JAPANESE RESTAURANT SF","619 TAYLOR ST","SAN FRANCISCO",94102,"FULL-SERVICE RESTAURANTS",3,214,"CA"
"CAFE LA TAZA","470 POST ST","SAN FRANCISCO",94102,"FULL-SERVICE RESTAURANTS",4,285,"CA"
"SEARS FINE FOOD","439 POWELL ST","SAN FRANCISCO",94102,"FULL-SERVICE RESTAURANTS",30,2135,"CA"
"JASMINE'S CAFE","809 BUSH ST","SAN FRANCISCO",94108,"FULL-SERVICE RESTAURANTS",2,143,"CA"
"FINO RESTAURANT","624 POST ST","SAN FRANCISCO",94109,"FULL-SERVICE RESTAURANTS",14,997,"CA"
"LUQUES RESTAURANT & BAR","433 POWELL ST","SAN FRANCISCO",94102,"FULL-SERVICE RESTAURANTS",12,854,"CA"
"SUBWAY","701 SUTTER ST # M","SAN FRANCISCO",94109,"FULL-SERVICE RESTAURANTS",7,499,"CA"
"PIZZERIA RESTAURANTPIRAAT","696 SUTTER ST","SAN FRANCISCO",94102,"FULL-SERVICE RESTAURANTS",3,214,"CA"
"PAT KULETO RESTAURANT DEVMNT","450 POST ST # 4","SAN FRANCISCO",94102,"FULL-SERVICE RESTAURANTS",6,427,"CA"
"ITHAI","720 POST ST","SAN FRANCISCO",94109,"FULL-SERVICE RESTAURANTS",5,356,"CA"
"CITY CHOPSTICKS","883 BUSH ST","SAN FRANCISCO",94108,"FULL-SERVICE RESTAURANTS",13,926,"CA"
"LIHOLIHO YACHT CLUB","871 SUTTER ST","SAN FRANCISCO",94109,"FULL-SERVICE RESTAURANTS",6,427,"CA"
"SUGAR CAFE","679 SUTTER ST","SAN FRANCISCO",94102,"FULL-SERVICE RESTAURANTS",6,427,"CA"
"LEATHERNECK STEAKHOUSE","609 SUTTER ST","SAN FRANCISCO",94102,"FULL-SERVICE RESTAURANTS",6,427,"CA"
"79 RESTAURANT","707 SUTTER ST","SAN FRANCISCO",94109,"FULL-SERVICE RESTAURANTS",6,427,"CA"
"LORI'S DINER","500 SUTTER ST # 708","SAN FRANCISCO",94102,"FULL-SERVICE RESTAURANTS",10,712,"CA"
"LORI'S DINER INTL INC","439 POWELL ST","SAN FRANCISCO",94102,"FULL-SERVICE RESTAURANTS",20,1424,"CA"
"FLAMING CREPERIE LLC","729 BUSH ST","SAN FRANCISCO",94108,"FULL-SERVICE RESTAURANTS",6,427,"CA"
"WHITE HORSE","635 SUTTER ST","SAN FRANCISCO",94102,"FULL-SERVICE RESTAURANTS",6,427,"CA"
"CAFE ENCORE","488 POST ST","SAN FRANCISCO",94102,"FULL-SERVICE RESTAURANTS",7,499,"CA"
"LEVEL III","500 POST ST","SAN FRANCISCO",94102,"FULL-SERVICE RESTAURANTS",25,1780,"CA"
"L'OTTAVO-SAN FRANCISCO","692 SUTTER ST","SAN FRANCISCO",94102,"FULL-SERVICE RESTAURANTS",11,783,"CA"
"BOROBUDUR RESTAURANT","700 POST ST","SAN FRANCISCO",94109,"FULL-SERVICE RESTAURANTS",3,214,"CA"
"CESARIO'S","601 SUTTER ST","SAN FRANCISCO",94102,"FULL-SERVICE RESTAURANTS",10,712,"CA"
"JEANNE D'ARC-CORNELL HOTEL DE","715 BUSH ST","SAN FRANCISCO",94108,"FULL-SERVICE RESTAURANTS",18,1281,"CA"
"MARU SUSHI","529 POWELL ST","SAN FRANCISCO",94108,"FULL-SERVICE RESTAURANTS",6,427,"CA"
"SUGITA FOODS INC","704 SUTTER ST","SAN FRANCISCO",94109,"FULL-SERVICE RESTAURANTS",6,427,"CA"
"PPQ BEEF NOODLE HOUSE","500 POST ST","SAN FRANCISCO",94102,"FULL-SERVICE RESTAURANTS",6,427,"CA"
"SALESRACER","490 POST ST # 508","SAN FRANCISCO",94102,"FULL-SERVICE RESTAURANTS",6,427,"CA"
"MANI'S PIZZA & FRIES","728 POST ST","SAN FRANCISCO",94109,"FULL-SERVICE RESTAURANTS",6,427,"CA"
"SANRAKU JAPANESE RESTAURANT","704 SUTTER ST","SAN FRANCISCO",94109,"FULL-SERVICE RESTAURANTS",30,2135,"CA"
"MORTON'S THE STEAKHOUSE","400 POST ST","SAN FRANCISCO",94102,"FULL-SERVICE RESTAURANTS",101,7188,"CA"
"FARALLON","450 POST ST # 4","SAN FRANCISCO",94102,"FULL-SERVICE RESTAURANTS",100,7117,"CA"
"LE COLONIAL","20 COSMO PL","SAN FRANCISCO",94109,"FULL-SERVICE RESTAURANTS",100,7117,"CA"
"FRANCHINO","347 COLUMBUS AVE","SAN FRANCISCO",94133,"FULL-SERVICE RESTAURANTS",2,143,"CA"
"DA FLORA","701 COLUMBUS AVE","SAN FRANCISCO",94133,"FULL-SERVICE RESTAURANTS",2,143,"CA"
"GRAFFEO COFFEE ROASTING CO","735 COLUMBUS AVE","SAN FRANCISCO",94133,"FULL-SERVICE RESTAURANTS",3,214,"CA"
"II POLLAIO","555 COLUMBUS AVE","SAN FRANCISCO",94133,"FULL-SERVICE RESTAURANTS",10,712,"CA"
"NEW MOON RESTAURANT","1247 STOCKTON ST","SAN FRANCISCO",94133,"FULL-SERVICE RESTAURANTS",10,712,"CA"
"TRATTORIA CONTADINA ITALIAN","1800 MASON ST","SAN FRANCISCO",94133,"FULL-SERVICE RESTAURANTS",20,1424,"CA"
"MOLINARI DELICATESSEN","373 COLUMBUS AVE","SAN FRANCISCO",94133,"FULL-SERVICE RESTAURANTS",7,499,"CA"
"SAM'S","618 BROADWAY","SAN FRANCISCO",94133,"FULL-SERVICE RESTAURANTS",2,143,"CA"
"NEW REGENT CAFE","638 PACIFIC AVE","SAN FRANCISCO",94133,"FULL-SERVICE RESTAURANTS",4,285,"CA"
"YUET LEE","1300 STOCKTON ST","SAN FRANCISCO",94133,"FULL-SERVICE RESTAURANTS",13,926,"CA"
"DIM SUM BISTRO","675 BROADWAY","SAN FRANCISCO",94133,"FULL-SERVICE RESTAURANTS",3,214,"CA"
"SUSHI HUNTER","1701 POWELL ST","SAN FRANCISCO",94133,"FULL-SERVICE RESTAURANTS",5,356,"CA"
"HAPPY CHINESE RESTAURANT","1326 POWELL ST","SAN FRANCISCO",94133,"FULL-SERVICE RESTAURANTS",6,427,"CA"
"TONE COMMUNICATIONS CO ULTRA","1239 STOCKTON ST","SAN FRANCISCO",94133,"FULL-SERVICE RESTAURANTS",6,427,"CA"
"VUNGTAU RESTAURANT","708 VALLEJO ST","SAN FRANCISCO",94133,"FULL-SERVICE RESTAURANTS",4,285,"CA"
"BLUE SKY RESTAURANT","1504 POWELL ST","SAN FRANCISCO",94133,"FULL-SERVICE RESTAURANTS",6,427,"CA"
"BROADWAY CAFE","670 BROADWAY","SAN FRANCISCO",94133,"FULL-SERVICE RESTAURANTS",6,427,"CA"
"NIZARIO'S PIZZA","279 COLUMBUS AVE","SAN FRANCISCO",94133,"FULL-SERVICE RESTAURANTS",3,214,"CA"
"COOKHOUSE","253 COLUMBUS AVE","SAN FRANCISCO",94133,"FULL-SERVICE RESTAURANTS",6,427,"CA"
"NEW ASIA RESTAURANT","772 PACIFIC AVE","SAN FRANCISCO",94133,"FULL-SERVICE RESTAURANTS",45,3203,"CA"
"NEW SUN HONG KONG RESTAURANT","606 BROADWAY","SAN FRANCISCO",94133,"FULL-SERVICE RESTAURANTS",6,427,"CA"
"YUMMY BBQ KITCHEN","683 BROADWAY","SAN FRANCISCO",94133,"FULL-SERVICE RESTAURANTS",6,427,"CA"
"SOUFFLES CAFE","1401 POWELL ST","SAN FRANCISCO",94133,"FULL-SERVICE RESTAURANTS",6,427,"CA"
"CAPOS","641 VALLEJO ST","SAN FRANCISCO",94133,"FULL-SERVICE RESTAURANTS",6,427,"CA"
"PHO VUNG TAU","708 VALLEJO ST","SAN FRANCISCO",94133,"FULL-SERVICE RESTAURANTS",6,427,"CA"
"YUMMY YUMMY","758 PACIFIC AVE","SAN FRANCISCO",94133,"FULL-SERVICE RESTAURANTS",3,214,"CA"
"RATCHA THAI RESTAURANT","631 BROADWAY","SAN FRANCISCO",94133,"FULL-SERVICE RESTAURANTS",6,427,"CA"
"CHINA LIVE","644 BROADWAY","SAN FRANCISCO",94133,"FULL-SERVICE RESTAURANTS",6,427,"CA"
"CAFE DU NORD","725 UNION ST","SAN FRANCISCO",94133,"FULL-SERVICE RESTAURANTS",6,427,"CA"
"STINKING ROSE-SAN FRANCISCO","325 COLUMBUS AVE","SAN FRANCISCO",94133,"FULL-SERVICE RESTAURANTS",50,3559,"CA"
"FIRENZE BY NIGHT","1421 STOCKTON ST","SAN FRANCISCO",94133,"FULL-SERVICE RESTAURANTS",18,1281,"CA"
"MONA LISA RESTAURANT","353 COLUMBUS AVE","SAN FRANCISCO",94133,"FULL-SERVICE RESTAURANTS",11,783,"CA"
"LOUIE'S DIM SUM","1242 STOCKTON ST","SAN FRANCISCO",94133,"FULL-SERVICE RESTAURANTS",3,214,"CA"
"BROADWAY DIM SUM CAFE","684 BROADWAY","SAN FRANCISCO",94133,"FULL-SERVICE RESTAURANTS",6,427,"CA"
"YEES RESTAURANT","1131 GRANT AVE","SAN FRANCISCO",94133,"FULL-SERVICE RESTAURANTS",11,783,"CA"
"PIAZZA PELLEGRINI","659 COLUMBUS AVE","SAN FRANCISCO",94133,"FULL-SERVICE RESTAURANTS",6,427,"CA"
"NORTH BEACH GYROS","701 UNION ST","SAN FRANCISCO",94133,"FULL-SERVICE RESTAURANTS",6,427,"CA"
"627 VALLEJO MARKET CAFE LLC","627 VALLEJO ST","SAN FRANCISCO",94133,"FULL-SERVICE RESTAURANTS",6,427,"CA"
"PICCOLO FORNO","725 COLUMBUS AVE","SAN FRANCISCO",94133,"FULL-SERVICE RESTAURANTS",6,427,"CA"
"CAFFE SPUNTINO","543 COLUMBUS AVE","SAN FRANCISCO",94133,"FULL-SERVICE RESTAURANTS",6,427,"CA"
"BAKED BEAR","303 COLUMBUS AVE","SAN FRANCISCO",94133,"FULL-SERVICE RESTAURANTS",4,285,"CA"
"KAN RAMEN","229 COLUMBUS AVE","SAN FRANCISCO",94133,"FULL-SERVICE RESTAURANTS",3,214,"CA"
"T & T CAFE","601 BROADWAY","SAN FRANCISCO",94133,"FULL-SERVICE RESTAURANTS",6,427,"CA"
"YIN DU WONTON NOODLE LLC","648 PACIFIC AVE","SAN FRANCISCO",94133,"FULL-SERVICE RESTAURANTS",6,427,"CA"
"PANUCHO'S","620 BROADWAY","SAN FRANCISCO",94133,"FULL-SERVICE RESTAURANTS",6,427,"CA"
"LITTLE SWAN BAKERY","1249 STOCKTON ST","SAN FRANCISCO",94133,"FULL-SERVICE RESTAURANTS",6,427,"CA"
"MIKI RAMEN LLC","620 BROADWAY","SAN FRANCISCO",94133,"FULL-SERVICE RESTAURANTS",6,427,"CA"
"CHINESE COMMUNITY HEALTH RSRC","728 PACIFIC AVE # 115","SAN FRANCISCO",94133,"FULL-SERVICE RESTAURANTS",5,356,"CA"
"BURGERMEISTER","759 COLUMBUS AVE","SAN FRANCISCO",94133,"FULL-SERVICE RESTAURANTS",5,356,"CA"
"BRANDY HO'S HUNAN FOOD","217 COLUMBUS AVE","SAN FRANCISCO",94133,"FULL-SERVICE RESTAURANTS",15,1068,"CA"
"CAFFE GRECO LLC","423 COLUMBUS AVE","SAN FRANCISCO",94133,"FULL-SERVICE RESTAURANTS",3,214,"CA"
"NEW HOLLYWOOD BAKERY & RSTRNT","652 PACIFIC AVE","SAN FRANCISCO",94133,"FULL-SERVICE RESTAURANTS",2,143,"CA"
"MICHELANGELO CAFFE","579 COLUMBUS AVE","SAN FRANCISCO",94133,"FULL-SERVICE RESTAURANTS",10,712,"CA"
"FRUIT CITY","1210 STOCKTON ST","SAN FRANCISCO",94133,"FULL-SERVICE RESTAURANTS",6,427,"CA"
"KAM PO KITCHEN","801 BROADWAY","SAN FRANCISCO",94133,"FULL-SERVICE RESTAURANTS",9,641,"CA"
"MA'S DIMSUM & CAFE","1315 POWELL ST","SAN FRANCISCO",94133,"FULL-SERVICE RESTAURANTS",2,143,"CA"
"PENA PACHAMAMA","1630 POWELL ST","SAN FRANCISCO",94133,"FULL-SERVICE RESTAURANTS",2,143,"CA"
"SUSHI ON NORTH BEACH-KATSU","745 COLUMBUS AVE","SAN FRANCISCO",94133,"FULL-SERVICE RESTAURANTS",3,214,"CA"
"TRATTORIA PINOCCHIO","401 COLUMBUS AVE","SAN FRANCISCO",94133,"FULL-SERVICE RESTAURANTS",45,3203,"CA"
"PHO HOA NOODLE SOUP","431 JONES ST","SAN FRANCISCO",94102,"FULL-SERVICE RESTAURANTS",4,285,"CA"
"MARRAKECH MOROCCAN RESTAURANT","419 OFARRELL ST","SAN FRANCISCO",94102,"FULL-SERVICE RESTAURANTS",4,285,"CA"
"LEFTY O'DOUL'S RSTRNT-COCKTAIL","333 GEARY ST","SAN FRANCISCO",94102,"FULL-SERVICE RESTAURANTS",30,2135,"CA"
"NEW DELHI RESTAURANT","160 ELLIS ST","SAN FRANCISCO",94102,"FULL-SERVICE RESTAURANTS",12,854,"CA"
"SUNFLOWER CAFE","284 OFARRELL ST","SAN FRANCISCO",94102,"FULL-SERVICE RESTAURANTS",3,214,"CA"
"EL TESORO TAQERIA & GRILL","599 OFARRELL ST","SAN FRANCISCO",94102,"FULL-SERVICE RESTAURANTS",8,570,"CA"
"DANIELS CAFE","154 ELLIS ST","SAN FRANCISCO",94102,"FULL-SERVICE RESTAURANTS",1,72,"CA"
"CHIPOTLE MEXICAN GRILL","232 OFARRELL ST","SAN FRANCISCO",94102,"FULL-SERVICE RESTAURANTS",20,1424,"CA"
"RESTAURANT ANZU","222 MASON ST","SAN FRANCISCO",94102,"FULL-SERVICE RESTAURANTS",27,1922,"CA"
"BURGER HOUSE","237 POWELL ST","SAN FRANCISCO",94102,"FULL-SERVICE RESTAURANTS",6,427,"CA"
"REDWOOD ROOM","495 GEARY ST","SAN FRANCISCO",94102,"FULL-SERVICE RESTAURANTS",6,427,"CA"
"MILLION THAI RESTAURANT","385 TAYLOR ST","SAN FRANCISCO",94102,"FULL-SERVICE RESTAURANTS",6,427,"CA"
"FISH & FARM RESTAURANT & BAR","339 TAYLOR ST","SAN FRANCISCO",94102,"FULL-SERVICE RESTAURANTS",6,427,"CA"
"CHICO'S PIZZA","468 ELLIS ST","SAN FRANCISCO",94102,"FULL-SERVICE RESTAURANTS",2,143,"CA"
"UNION SQUARE ASSN","347 GEARY ST","SAN FRANCISCO",94102,"FULL-SERVICE RESTAURANTS",6,427,"CA"
"TADU ETHIOPIAN KITCHEN","484 ELLIS ST","SAN FRANCISCO",94102,"FULL-SERVICE RESTAURANTS",6,427,"CA"
"SUPREMO PIZZA LLC","491 OFARRELL ST","SAN FRANCISCO",94102,"FULL-SERVICE RESTAURANTS",6,427,"CA"
"BARTLETT HALL","242 OFARRELL ST","SAN FRANCISCO",94102,"FULL-SERVICE RESTAURANTS",6,427,"CA"
"T L CAFE","517 OFARRELL ST","SAN FRANCISCO",94102,"FULL-SERVICE RESTAURANTS",6,427,"CA"
"PINE CREST DINER","401 GEARY ST","SAN FRANCISCO",94102,"FULL-SERVICE RESTAURANTS",14,997,"CA"
"DOJIMA","219 OFARRELL ST","SAN FRANCISCO",94102,"FULL-SERVICE RESTAURANTS",11,783,"CA"
"CAFE MASON","320 MASON ST","SAN FRANCISCO",94102,"FULL-SERVICE RESTAURANTS",25,1780,"CA"
"PIZZA PRADA INC","239 POWELL ST","SAN FRANCISCO",94102,"FULL-SERVICE RESTAURANTS",30,2135,"CA"
"DAILY GRILL-SAN FRANCISCO","347 GEARY ST","SAN FRANCISCO",94102,"FULL-SERVICE RESTAURANTS",75,5338,"CA"
"VELVET ROOM","495 GEARY ST","SAN FRANCISCO",94102,"FULL-SERVICE RESTAURANTS",25,1780,"CA"
"TIKKA MASALA","424 ELLIS ST # 109","SAN FRANCISCO",94102,"FULL-SERVICE RESTAURANTS",2,143,"CA"
"SEGAFREDO ZANETTI","235 POWELL ST","SAN FRANCISCO",94102,"FULL-SERVICE RESTAURANTS",3,214,"CA"
"GRILL CONCEPTS","347 GEARY ST","SAN FRANCISCO",94102,"FULL-SERVICE RESTAURANTS",6,427,"CA"
"PONZU","222 MASON ST","SAN FRANCISCO",94102,"FULL-SERVICE RESTAURANTS",6,427,"CA"
"JGX INC","333 GEARY ST","SAN FRANCISCO",94102,"FULL-SERVICE RESTAURANTS",6,427,"CA"
"MIYABI FUSION JAPANESE CUISINE","115 CYRIL MAGNIN ST","SAN FRANCISCO",94102,"FULL-SERVICE RESTAURANTS",6,427,"CA"
"MIYABIYA SUSHI & GRILL","115 CYRIL MAGNIN ST","SAN FRANCISCO",94102,"FULL-SERVICE RESTAURANTS",6,427,"CA"
"HALAL GUYS","340 OFARRELL ST","SAN FRANCISCO",94102,"FULL-SERVICE RESTAURANTS",6,427,"CA"
"CHAT CORNER","138 CYRIL MAGNIN ST","SAN FRANCISCO",94102,"FULL-SERVICE RESTAURANTS",6,427,"CA"
"KING KEE CHINESE RESTAURANT","101 CYRIL MAGNIN ST","SAN FRANCISCO",94102,"FULL-SERVICE RESTAURANTS",6,427,"CA"
"FOMO INC","340 OFARRELL ST","SAN FRANCISCO",94102,"FULL-SERVICE RESTAURANTS",100,7117,"CA"
"CAFE BELLATRIX","325 MASON ST # 10","SAN FRANCISCO",94102,"FULL-SERVICE RESTAURANTS",6,427,"CA"
"VILLA FLORENCE SN FRANCISCO ON","225 POWELL ST","SAN FRANCISCO",94102,"FULL-SERVICE RESTAURANTS",6,427,"CA"
"LORI'S DINER","336 MASON ST","SAN FRANCISCO",94102,"FULL-SERVICE RESTAURANTS",21,1495,"CA"
"TAYLOR STREET COFFEE SHOP","375 TAYLOR ST","SAN FRANCISCO",94102,"FULL-SERVICE RESTAURANTS",5,356,"CA"
"CITYSCAPE BAR & RESTAURANT","333 OFARRELL ST","SAN FRANCISCO",94102,"FULL-SERVICE RESTAURANTS",25,1780,"CA"
"JOHNNY FOLEY'S","243 OFARRELL ST","SAN FRANCISCO",94102,"FULL-SERVICE RESTAURANTS",20,1424,"CA"
