"company","address_line_1","city","zipcode","naics8_descriptions","employee_size_location","sales_volume_location","state"
"SUNRISE MIDDLE EASTERN DELI","493 PINE ST","SAN FRANCISCO",94104,"FULL-SERVICE RESTAURANTS",3,214,"CA"
"BURGER SHACK","21 DRUMM ST","SAN FRANCISCO",94111,"FULL-SERVICE RESTAURANTS",6,427,"CA"
"CREDO","360 PINE ST","SAN FRANCISCO",94104,"FULL-SERVICE RESTAURANTS",6,427,"CA"
"HOE RESTAURANT","185 SUTTER ST","SAN FRANCISCO",94104,"FULL-SERVICE RESTAURANTS",6,427,"CA"
"ORALE ORALE","113 SACRAMENTO ST","SAN FRANCISCO",94111,"FULL-SERVICE RESTAURANTS",8,570,"CA"
"FOUNTAIN CAFE","50 POST ST # 62B","SAN FRANCISCO",94104,"FULL-SERVICE RESTAURANTS",6,427,"CA"
"US CHINA EXECUTOR EXCH INST","300 MONTGOMERY ST # 415","SAN FRANCISCO",94104,"FULL-SERVICE RESTAURANTS",6,427,"CA"
"GOURMET PROVISIONS LLC","245 KEARNY ST","SAN FRANCISCO",94108,"FULL-SERVICE RESTAURANTS",6,427,"CA"
"SUBWAY","388 MARKET ST # 102","SAN FRANCISCO",94111,"FULL-SERVICE RESTAURANTS",8,570,"CA"
"LA FUSION RESTAURANT","475 PINE ST","SAN FRANCISCO",94104,"FULL-SERVICE RESTAURANTS",6,427,"CA"
"PER DIEM","43 SUTTER ST","SAN FRANCISCO",94104,"FULL-SERVICE RESTAURANTS",6,427,"CA"
"CAFE TIRAMISU","28 BELDEN PL","SAN FRANCISCO",94104,"FULL-SERVICE RESTAURANTS",9,641,"CA"
"CHIPOTLE MEXICAN GRILL","50 CALIFORNIA ST","SAN FRANCISCO",94111,"FULL-SERVICE RESTAURANTS",21,1495,"CA"
"PACHINO","318 KEARNY ST","SAN FRANCISCO",94108,"FULL-SERVICE RESTAURANTS",10,712,"CA"
"BATTER BAKERY","555 CALIFORNIA ST # KIOSK","SAN FRANCISCO",94104,"FULL-SERVICE RESTAURANTS",6,427,"CA"
"ONEUP RESTAURANT & LOUNGE","345 STOCKTON ST","SAN FRANCISCO",94108,"FULL-SERVICE RESTAURANTS",6,427,"CA"
"CAMPTON PLACE BAR","340 STOCKTON ST","SAN FRANCISCO",94108,"FULL-SERVICE RESTAURANTS",130,9252,"CA"
"CAFE CLAUDE","425 BUSH ST # 444","SAN FRANCISCO",94108,"FULL-SERVICE RESTAURANTS",6,427,"CA"
"BOUCHE","603 BUSH ST","SAN FRANCISCO",94108,"FULL-SERVICE RESTAURANTS",6,427,"CA"
"CHIPOTLE MEXICAN GRILL","211 SUTTER ST","SAN FRANCISCO",94108,"FULL-SERVICE RESTAURANTS",35,2491,"CA"
"TAQUERIA ESTRELLA","380 BUSH ST","SAN FRANCISCO",94104,"FULL-SERVICE RESTAURANTS",6,427,"CA"
"HAKKASAN SAN FRANCISCO","1 KEARNY ST","SAN FRANCISCO",94108,"FULL-SERVICE RESTAURANTS",6,427,"CA"
"BIBIMBAR","380 BUSH ST # 2","SAN FRANCISCO",94104,"FULL-SERVICE RESTAURANTS",6,427,"CA"
"CROCKER GALLERIA-FOUNTAIN CAFE","50 POST ST # 62B","SAN FRANCISCO",94104,"FULL-SERVICE RESTAURANTS",6,427,"CA"
"CAFE MED","201 PINE ST","SAN FRANCISCO",94104,"FULL-SERVICE RESTAURANTS",6,427,"CA"
"BAMBOO ASIA","41 MONTGOMERY ST","SAN FRANCISCO",94104,"FULL-SERVICE RESTAURANTS",6,427,"CA"
"JIMMY JOHN'S","50 POST ST # 64A","SAN FRANCISCO",94104,"FULL-SERVICE RESTAURANTS",15,1068,"CA"
"SUSHIRRITO-UNION SQUARE","226 KEARNY ST","SAN FRANCISCO",94108,"FULL-SERVICE RESTAURANTS",6,427,"CA"
"BELDEN PLACE","44 BELDEN PL","SAN FRANCISCO",94104,"FULL-SERVICE RESTAURANTS",6,427,"CA"
"GIORGIO'S","50 POST ST # 63","SAN FRANCISCO",94104,"FULL-SERVICE RESTAURANTS",6,427,"CA"
