"trt10","tpop","pyoung","pcol","minc","mhval","mrent","pwht","pblk","pasian","phisp","tpop17","pyoung17","pcol17","minc17","mhval17","mrent17","pwht17","pblk17","pasian17","phisp17","gentcat"
31202,2846.9646439137,27.82,22.52,88360.2592249066,413855.925639521,1480.92552109812,13.17,17.459999,51.139999,14.53,3394,27.84,33.16,93438,872900,2062,6.5100002,16.379999,59.189999,10.64,"non-gentrifying"
31301,3617,24.75,24.889999,86177.5418154469,450650.291916563,1559.53743319072,15.85,28.389999,43.18,8.9300003,4241,21.1,45.700001,108454,908000,2341,18.559999,13.49,53.860001,9.5699997,"gentrifying"
31302,4584,24.75,24.889999,86177.5418154466,450650.291916563,1559.53743319072,15.85,28.389999,43.18,8.9300003,6109,26.4,40.110001,85250,726000,2620,10.89,11.23,57.099998,16.73,"gentrifying"
31400,6112.0353560863,25.83,22.459999,87853.0531834264,418904.934415613,1504.74819090198,9.5699997,29.66,37.220001,19.32,7096,28.040001,28.120001,84357,809600,1774,11.16,11.1,56.93,17.950001,"non-gentrifying"
32601,4391,30.389999,40.93,94042.9541813943,628422.964998043,1526.02615152041,39.09,1.14,52.389999,4.1100001,5211,31.799999,54.509998,120260,1071200,1908,31.34,3.47,46.880001,11.21,"non-gentrifiable"
32602,4214,30.389999,40.93,94042.9541813944,628422.964998042,1526.02615152041,39.09,1.14,52.389999,4.1100001,4753,25.139999,55.18,108179,1165000,2051,32.060001,0.28999999,60,6.4000001,"non-gentrifiable"
32700,6498,25.67,42.650002,91645.0271843312,609031.270171695,1830.00451900808,41.23,0.98000002,49.52,4.1599998,6898,27.040001,61.740002,131270,1153500,2481,36.790001,0.44999999,49.16,6.8299999,"non-gentrifiable"
32801,4258,27.959999,41.509998,94108.5485940805,588198.778883435,1753.51211659041,35.18,1.12,56.509998,3.8800001,4401,27.969999,49.200001,111250,1050400,2397,23.540001,2.8900001,61.529999,8.1599998,"non-gentrifiable"
32802,3776,27.959999,41.509998,94108.5485940805,588198.778883434,1753.51211659041,35.18,1.12,56.509998,3.8800001,4432,28.41,52.560001,116473,1096700,2931,29.17,0.74000001,56.540001,8.1499996,"non-gentrifiable"
32901,4848,22.860001,38.73,101250.045743549,583035.911128027,2106.66976407012,33.310001,0.52999997,59.939999,3.6800001,5615,22.85,52.830002,128681,1035800,2287,22.51,0.23,66.199997,6.8200002,"non-gentrifiable"
32902,3604,22.860001,38.73,101250.045743549,583035.911128027,2106.66976407012,33.310001,0.52999997,59.939999,3.6800001,4457,23.200001,46.700001,106307,978600,2655,27.280001,0,67.739998,3.0699999,"non-gentrifiable"
33000,7496,22.75,39.57,108290.892544021,612680.114005158,1888.608929521,44.34,1.3200001,45.48,5.4400001,8127,27.4,55.459999,127219,1140600,2404,37.049999,0.74000001,47.91,8.3400002,"non-gentrifiable"
33100,3739,16.639999,50.759998,117753.226704615,771759.530021361,2978.95017793594,49.689999,0.40000001,43.060001,4.4400001,3895,16.709999,56.939999,120508,1289600,2461,37.279999,0.44,50.650002,4.2399998,"non-gentrifiable"
33201,3075,73.040001,50.860001,50241.7120538389,0,1854.06339764517,47.540001,6.4699998,27.93,11.22,4551,86.110001,55.759998,35377,NA,1759,29.49,7.0799999,21.84,35.549999,"non-gentrifying"
33203,3384,36.299999,51.32,71453.9341411265,14058.8285883749,1633.9378447285,44.240002,5.9400001,35.91,7.6100001,3956,47.950001,57.299999,54861,1502500,2240,45.400002,3.3900001,30.84,15.55,"non-gentrifying"
33204,3874,36.299999,51.32,71453.9341411263,14058.8285883748,1633.9378447285,44.240002,5.9400001,35.91,7.6100001,4698,54.380001,51.93,73250,NA,2045,29.4,8.4700003,30.23,21.709999,"non-gentrifying"
35100,7756,26.290001,38.84,97191.4863855424,525327.304072822,1800.19725693237,36.599998,0.94999999,54.490002,4.5599999,9116,22.43,55.419998,142859,1101200,2355,30.02,1.38,50.52,7.5799999,"non-gentrifiable"
35201,5587,28.190001,37.790001,95663.0646087447,493111.403471941,1474.16757547928,34.060001,2.3800001,53.950001,5.46,5704,23.530001,40.66,98485,951900,1901,35.82,0.60000002,53.66,7.3499999,"non-gentrifiable"
35202,4436,34.110001,39.799999,78441.8657020241,529284.79106635,1418.88983444221,45.560001,1.62,42.060001,6.79,5244,29.209999,52.490002,89732,1001700,1942,40.310001,7.0700002,29.389999,11.14,"non-gentrifying"
35300,7082,24.709999,34.299999,89509.3972435363,496093.138148267,1710.02377871239,33.560001,0.51999998,57.950001,5.1300001,7487,19.129999,45.23,100266,956300,2183,30.280001,0,57.709999,7.8699999,"non-gentrifying"
35400,6726,25.780001,36.32,91755.5286046136,487056.260911811,1436.0668742586,34.57,1.62,54.580002,5.5500002,7342,16.940001,49.939999,107151,991800,1517,34.34,2.53,49.439999,6.29,"non-gentrifiable"
40100,4348,34.68,56.07,87148.7189019654,1124997.31815565,1436.60224473036,53.700001,1.7,36.110001,5.2399998,4560,37.369999,65.330002,110849,1503800,1910,49.630001,0.79000002,38.18,7.6799998,"non-gentrifying"
40200,5364,32.349998,57.290001,89004.2773954194,985653.69731493,1622.06989075972,53.189999,1.08,37.75,4.3400002,5600,25.370001,66.339996,107475,1571400,2137,56.700001,0.88,31.57,6.8000002,"non-gentrifying"
