"id","trt10","analysis","latitude","longitude","property_type","review_scores_rating","review_scores_location","number_of_reviews"
63247,22901,"mission",37.7492577913684,-122.41397519022,"Guest suite",93,10,285
63405,20900,"mission",37.7539960890293,-122.417706321436,"Guest suite",93,10,206
64165,12901,"marina",37.8031736091944,-122.428740684988,"Apartment",99,10,65
66119,47600,"outer richmond",37.777979433132,-122.478123921284,"Apartment",83,9,96
66188,47902,"outer richmond",37.7771860522274,-122.509060167198,"Apartment",96,9,12
68239,21000,"mission",37.7542572554902,-122.42386605699,"Apartment",99,10,35
69410,45100,"inner richmond",37.7744198372771,-122.463189423187,"House",98,10,50
69681,47901,"outer richmond",37.7770690692625,-122.509231872583,"Apartment",93,9,7
70139,21500,"noe valley",37.7452742927375,-122.424240324568,"Apartment",98,10,10
71645,25100,"bernal heights",37.7457751874626,-122.408411968684,"Guest suite",98,10,105
71779,45200,"inner richmond",37.7762482650997,-122.464656874691,"Apartment",60,8,2
72365,16400,"hayes valley",37.7751812479675,-122.43334092158,"Apartment",89,10,64
73011,20100,"mission",37.7702572987572,-122.418546723567,"Apartment",99,8,30
74451,16400,"hayes valley",37.7738767099239,-122.432975686883,"Apartment",96,10,17
75423,25600,"excelsior",37.7304802544081,-122.424935836124,"House",90,8,33
77175,21700,"glen park",37.7383817947844,-122.433751572009,"House",97,10,262
81158,15400,"presidio heights",37.784932361281,-122.44617874147,"Condominium",92,10,12
81535,12501,"tenderloin",37.7802468256843,-122.413096748648,"Loft",97,8,14
82919,25403,"bernal heights",37.7342981982552,-122.420921340754,"House",92,9,371
83257,15400,"presidio heights",37.7852800242626,-122.44358154469,"House",97,9,84
83553,47901,"outer richmond",37.7748255366123,-122.509518080884,"Apartment",100,9,6
84777,20401,"castro/upper market",37.7596935058432,-122.44444867872,"Guest suite",94,9,214
87640,21500,"noe valley",37.7454959656891,-122.428984450473,"Guest suite",98,10,313
91957,17102,"haight ashbury",37.7619357724881,-122.449286142823,"Apartment",95,10,95
95243,10400,"north beach",37.8029872118828,-122.409369879597,"Condominium",98,10,31
96383,13101,"pacific heights",37.7917561818942,-122.424755244204,"Apartment",94,10,130
99094,20200,"mission",37.768086305165,-122.424390331424,"Apartment",98,10,12
100710,20700,"mission",37.7562905590374,-122.425177532764,"Apartment",100,10,10
102213,10300,"russian hill",37.8015240795649,-122.414307932442,"Apartment",97,10,107
105497,35100,"sunset/parkside",37.7575370160428,-122.498524836168,"House",100,9,3
106025,12201,"tenderloin",37.7853494759726,-122.415146009666,"Apartment",98,8,59
109883,30900,"west of twin peaks",37.7332736535446,-122.464345580778,"Guest suite",94,10,314
110825,61000,"bayview hunters point",37.7154867166839,-122.389224161563,"House",93,9,8
114401,20600,"castro/upper market",37.7610157730962,-122.430054451799,"Condominium",97,10,485
115242,10100,"north beach",37.8059117195648,-122.408298865066,"Condominium",95,10,5
117955,17802,"south of market",37.7754080754454,-122.411422431023,"Apartment",96,9,82
121065,16801,"hayes valley",37.7708290855117,-122.431091482006,"Apartment",99,10,36
122829,16802,"hayes valley",37.7738082777912,-122.421482719049,"Apartment",94,9,70
124011,30202,"inner sunset",37.7633398951034,-122.469475556817,"House",98,9,9
126046,17101,"haight ashbury",37.7681347587221,-122.444935972703,"Apartment",97,10,80
128230,20500,"castro/upper market",37.7588684249324,-122.435647781878,"Apartment",99,10,137
130805,20800,"mission",37.7558606578862,-122.420919339405,"Apartment",99,10,64
132441,25401,"bernal heights",37.7397368146482,-122.422994297861,"House",95,10,100
134015,12901,"marina",37.8035603910972,-122.425888655243,"Condominium",97,10,69
138592,20700,"mission",37.7555754538699,-122.424740676351,"House",98,10,24
138619,10600,"north beach",37.7983539440165,-122.404197045286,"Apartment",92,10,52
138681,60700,"mission bay",37.7728428945825,-122.396865397391,"Apartment",100,10,2
138772,20600,"castro/upper market",37.7582267220427,-122.432733103093,"House",98,10,54
142177,42601,"outer richmond",37.7847057837294,-122.481249670809,"Condominium",98,9,175
144043,25100,"bernal heights",37.7454747316587,-122.407258822076,"House",93,9,135
144978,13101,"pacific heights",37.7933572043316,-122.425062318867,"Apartment",93,10,117
148559,16900,"castro/upper market",37.7678702188958,-122.431722197898,"Apartment",99,10,19
150053,61500,"financial district/south beach",37.7875975884762,-122.392223884198,"Apartment",100,10,12
150347,20800,"mission",37.7620221109867,-122.418760382421,"Apartment",94,9,116
150848,22702,"potrero hill",37.7619953856549,-122.393914670624,"Townhouse",99,10,205
162934,47902,"outer richmond",37.777606064296,-122.503784263584,"Apartment",95,10,204
164207,30800,"west of twin peaks",37.7415925843591,-122.465781970801,"House",97,10,323
166199,20600,"castro/upper market",37.7619363017239,-122.432392028553,"Guesthouse",96,10,154
166771,17101,"haight ashbury",37.7682723510776,-122.446784320935,"Apartment",97,10,150
174679,22903,"mission",37.7545231512655,-122.407155777538,"Apartment",96,9,10
175090,11700,"financial district/south beach",37.7901840309944,-122.404748410789,"Apartment",87,10,24
175102,11700,"financial district/south beach",37.7907638998045,-122.404029584802,"Apartment",94,9,49
176092,22902,"mission",37.7527174181433,-122.409340052575,"Guest suite",98,10,284
178740,15600,"lone mountain/usf",37.778180142335,-122.454202652811,"Guest suite",98,10,129
180233,20600,"castro/upper market",37.7565689022027,-122.432626694411,"House",92,10,18
183859,21700,"glen park",37.7362567158599,-122.436769660021,"Apartment",97,10,201
187730,20800,"mission",37.7575672776556,-122.419394713325,"Apartment",96,10,96
189068,25401,"bernal heights",37.7385639177761,-122.416871084629,"Apartment",98,10,163
189894,12901,"marina",37.8031780774682,-122.429773704637,"Apartment",97,10,33
191632,16500,"lone mountain/usf",37.7731091217378,-122.449786133538,"Guest suite",97,10,406
199480,25200,"bernal heights",37.7455673698475,-122.41187307696,"Apartment",99,10,183
201313,10500,"financial district/south beach",37.8034035786862,-122.404845011498,"Serviced apartment",100,10,2
201579,15802,"western addition",37.77755721543,-122.43326351433,"Apartment",97,10,211
205842,22702,"potrero hill",37.7648742202467,-122.397626722594,"House",99,10,647
207980,21600,"noe valley",37.7444589208426,-122.437756656702,"House",96,10,322
208727,42700,"outer richmond",37.7826483853208,-122.489711858455,"Apartment",96,9,28
208831,10300,"russian hill",37.8024209912945,-122.414401946747,"Guest suite",95,10,423
212265,22803,"mission",37.7555148842196,-122.408824232778,"Condominium",100,10,2
216042,25300,"bernal heights",37.7438238317375,-122.417726732513,"House",99,10,49
216064,25500,"outer mission",37.726520117585,-122.434679123686,"House",91,8,85
217106,17101,"haight ashbury",37.7646808966293,-122.445231447085,"Apartment",94,10,42
218567,15500,"japantown",37.785943647709,-122.432192875102,"Serviced apartment",96,10,88
220780,47901,"outer richmond",37.7757926640486,-122.50701883931,"House",NA,NA,0
221342,10300,"russian hill",37.8028110041456,-122.415395909292,"Condominium",95,10,166
