"nhood","tpop","pyoung","pcol","minc","mhval","mrent","pwhite","pblack","pasian","phisp","tpop17","pyoung17","pcol17","minc17","mhval17","mrent17","gentcat","pwhite17","pblack17","pasian17","phisp17"
"Pacific Heights",23205,38.7142855714286,73.1442865714286,122776.109722755,1094913.40535005,1886.94120043501,77.7763413057531,3.22775263951735,12.2430510665805,4.02930402930403,24279,35.5357145714286,82.4071425714286,165741.142857143,1557414.57142857,2441.71428571429,"nongentable-ascending",64.9944396391944,3.11380205115532,18.756950451007,8.09753284731661
"Portola",15370,24.90999975,19.935,84860.1650373905,456971.585658342,1410.87990642411,17.1698113207547,7.2804163955758,50.5855562784645,21.327260897853,16331,20.7575005,29.4275,91096.25,875775,1873,"non-gentrifying",15.0450064294899,4.18223011450615,54.5281979058233,24.1932520972384
"Potrero Hill",10542,34.2549995,62.250001,121149.856225654,758299.973964065,1602.7440597272,59.447922595333,15.9836812749004,7.73098083855056,11.2407512805919,15161,32.47999925,76.99750125,181207.75,1206800,2353.5,"nongentable-ascending",51.658861552668,5.44818943341468,20.8825275377614,14.6692170701141
"Presidio",2234,58.549999,74.900002,109790.092883282,1488732.21233689,2465.57905988377,71.7547000895255,4.56580125335721,7.52014324082363,9.4449418084154,4226,39.52,84.18,208000,2000001,3364,"nongentable-ascending",68.8594415522953,2.10601041173687,8.40037860861335,13.9138665404638
"Presidio Heights",9907,32.1949995,70.254999,141093.347410774,1209649.89945045,1785.24459838981,73.5237710709599,3.26032098516201,15.7969112748562,4.24952054103159,10585,28.164999,81.215,151176.5,2000001,2061,"nongentable",67.7751535191309,1.05810108644308,18.5829003306566,6.16910722720831
"Russian Hill",17915,36.82249975,59.9400005,97322.658240395,939406.837305323,1539.54210481305,61.579681830868,1.07172760256768,31.1415026514095,3.56126151269886,18139,41.17250075,75.08749975,141373,1340250,2234.25,"nongentable-ascending",63.6859804840399,1.43337559953691,27.2451623573516,5.80517117812448
"Seacliff",2451,15.22,72.690002,222027.040950005,1488732.21233689,1706.51341933571,76.4177886576907,0.448796409628723,17.5846593227254,3.10077519379845,2507,9.3699999,84.589996,169455,2000001,2484,"nongentable",68.0095731950538,0,18.4284004786598,4.14838452333466
"South of Market",13888.776661743,31.7074995,27.8649995,45644.4558575805,645236.59884694,762.430122556384,34.498503480138,14.7940790614034,33.385102323462,12.0128866683829,24058,35.355,51.61250125,88997.5,914000,1409.25,"gentrifying",29.8445423559731,8.68733893091695,38.7023027683099,16.7802809876133
"Sunset/Parkside",74411,26.1828571428571,40.1692853571429,96360.9704296769,580261.365849172,1807.80892933227,38.0736719033476,1.12348980661461,52.7233876711776,4.7264517342866,82682,24.4114284285714,52.0614287142857,114902.857142857,1070307.14285714,2248.07142857143,"nongentable",32.2307152705547,1.44287753078058,52.8059311579304,7.4828862388428
"Tenderloin",29136,33.725,26.54500025,31648.7801194923,708432.016443556,805.317831970901,36.3416797089511,9.9370143465129,30.8797971581549,16.4522624931356,29927,28.63250025,37.275000375,39972.5,767675,1126,"non-gentrifying",31.8341297156414,9.38951448524744,28.8635680155044,24.1153473452067
"Treasure Island",1453,71.370003,58.810001,124240.467301635,0,2596.79610270858,61.8031658637302,12.1128699242946,11.3558155540262,10.1858224363386,3008,56.349998,38.720001,54375,NA,2106,"nongentable",27.9255319148936,22.2406914893617,10.3058510638298,26.030585106383
"Twin Peaks",7380.32037719692,22.2949995,57.9449995,118481.251463984,716299.96499434,1449.9773607383,66.5088065169373,6.66369852343441,15.2766931837208,7.59227067880782,7794,25.1899995,65.2549995,135160.5,1280400,2192,"non-gentrifying",57.4416217603285,3.28457788042084,19.9640749294329,13.8824736977162
"Visitacion Valley",17657,26.2139998,16.0560004,72057.7000110164,375495.154902085,1136.84305137439,7.00005640822337,19.544656510166,49.3855122614261,17.902248400068,19330,24.3299998,18.236,66290.8,750800,1500.6,"non-gentrifying",5.64924987066736,11.2415933781687,53.3781686497672,24.1076047594413
"West of Twin Peaks",35926.924783929,18.8099998571429,54.3528567142857,139931.908023384,753725.048204816,1986.2342332076,54.619111204246,3.05897987820992,29.7018936749449,8.75662478467202,38662,17.5742857142857,67.4671435714286,163316.714285714,1378814.28571429,2740,"nongentable-ascending",48.5282706533547,2.43391443794941,33.671305157519,10.3615953649578
"Western Addition",20739,35.9433331666667,47.2666671666667,66079.9684426815,540647.462473995,1280.3188634968,42.6442933603356,26.8093934133758,18.8726553835768,6.63966440040503,22607,34.6466668333333,64.3533331666667,85660,840383.333333333,1625.33333333333,"non-gentrifying",39.2842924757818,17.0257000044234,27.1154952006016,9.29800504268589
