"company","address_line_1","city","zipcode","naics8_descriptions","employee_size_location","sales_volume_location","state","full_add","lat","long"
"SUSHI UMI","132 BUSH ST","SAN FRANCISCO",94104,"FULL-SERVICE RESTAURANTS",9,641,"CA","132 BUSH ST, SAN FRANCISCO, CA, 94104",37.7913877,-122.4002224
"FOCACCIA CAFE & BAKERY","119 SACRAMENTO ST","SAN FRANCISCO",94111,"FULL-SERVICE RESTAURANTS",4,285,"CA","119 SACRAMENTO ST, SAN FRANCISCO, CA, 94111",37.7943244,-122.39703411699
"LEE'S DELI","75 BATTERY ST","SAN FRANCISCO",94111,"FULL-SERVICE RESTAURANTS",12,854,"CA","75 BATTERY ST, SAN FRANCISCO, CA, 94111",37.79182625,-122.399986862461
"MIXT","120 SANSOME ST","SAN FRANCISCO",94104,"FULL-SERVICE RESTAURANTS",6,427,"CA","120 SANSOME ST, SAN FRANCISCO, CA, 94104",37.7914522040816,-122.400694571429
"SUBWAY","408 MONTGOMERY ST","SAN FRANCISCO",94104,"FULL-SERVICE RESTAURANTS",12,854,"CA","408 MONTGOMERY ST, SAN FRANCISCO, CA, 94104",37.7931578,-122.4026987
"BURGER BAR-SAN FRANCISCO","251 GEARY ST","SAN FRANCISCO",94102,"FULL-SERVICE RESTAURANTS",15,1068,"CA","251 GEARY ST, SAN FRANCISCO, CA, 94102",37.78741,-122.407431
"BARBACCO ENO TRATTORIA","220 CALIFORNIA ST","SAN FRANCISCO",94111,"FULL-SERVICE RESTAURANTS",6,427,"CA","220 CALIFORNIA ST, SAN FRANCISCO, CA, 94111",37.7934537,-122.399259
"GOLDEN W RESTAURANT","8 TRINITY PL","SAN FRANCISCO",94104,"FULL-SERVICE RESTAURANTS",6,427,"CA","8 TRINITY PL, SAN FRANCISCO, CA, 94104",37.7902251,-122.4025393
"SUNRISE MIDDLE EASTERN DELI","493 PINE ST","SAN FRANCISCO",94104,"FULL-SERVICE RESTAURANTS",3,214,"CA","493 PINE ST, SAN FRANCISCO, CA, 94104",37.7916243,-122.4040088
"BURGER SHACK","21 DRUMM ST","SAN FRANCISCO",94111,"FULL-SERVICE RESTAURANTS",6,427,"CA","21 DRUMM ST, SAN FRANCISCO, CA, 94111",37.7939497,-122.3966629
"CREDO","360 PINE ST","SAN FRANCISCO",94104,"FULL-SERVICE RESTAURANTS",6,427,"CA","360 PINE ST, SAN FRANCISCO, CA, 94104",37.7920915,-122.4020161
"HOE RESTAURANT","185 SUTTER ST","SAN FRANCISCO",94104,"FULL-SERVICE RESTAURANTS",6,427,"CA","185 SUTTER ST, SAN FRANCISCO, CA, 94104",37.7897466,-122.4035389
"ORALE ORALE","113 SACRAMENTO ST","SAN FRANCISCO",94111,"FULL-SERVICE RESTAURANTS",8,570,"CA","113 SACRAMENTO ST, SAN FRANCISCO, CA, 94111",37.7944696,-122.3969228
"GOURMET PROVISIONS LLC","245 KEARNY ST","SAN FRANCISCO",94108,"FULL-SERVICE RESTAURANTS",6,427,"CA","245 KEARNY ST, SAN FRANCISCO, CA, 94108",37.7904179,-122.404217781633
"SUBWAY","388 MARKET ST # 102","SAN FRANCISCO",94111,"FULL-SERVICE RESTAURANTS",8,570,"CA","388 MARKET ST # 102, SAN FRANCISCO, CA, 94111",37.7920609,-122.3982442
"LA FUSION RESTAURANT","475 PINE ST","SAN FRANCISCO",94104,"FULL-SERVICE RESTAURANTS",6,427,"CA","475 PINE ST, SAN FRANCISCO, CA, 94104",37.7916605,-122.403733
"PER DIEM","43 SUTTER ST","SAN FRANCISCO",94104,"FULL-SERVICE RESTAURANTS",6,427,"CA","43 SUTTER ST, SAN FRANCISCO, CA, 94104",37.7900373,-122.4012968
"CAFE TIRAMISU","28 BELDEN PL","SAN FRANCISCO",94104,"FULL-SERVICE RESTAURANTS",9,641,"CA","28 BELDEN PL, SAN FRANCISCO, CA, 94104",37.79121525,-122.403623950279
"CHIPOTLE MEXICAN GRILL","50 CALIFORNIA ST","SAN FRANCISCO",94111,"FULL-SERVICE RESTAURANTS",21,1495,"CA","50 CALIFORNIA ST, SAN FRANCISCO, CA, 94111",37.7940648,-122.397379848318
"PACHINO","318 KEARNY ST","SAN FRANCISCO",94108,"FULL-SERVICE RESTAURANTS",10,712,"CA","318 KEARNY ST, SAN FRANCISCO, CA, 94108",37.7911574,-122.403919552173
"ONEUP RESTAURANT & LOUNGE","345 STOCKTON ST","SAN FRANCISCO",94108,"FULL-SERVICE RESTAURANTS",6,427,"CA","345 STOCKTON ST, SAN FRANCISCO, CA, 94108",37.789124,-122.407240369112
"CAMPTON PLACE BAR","340 STOCKTON ST","SAN FRANCISCO",94108,"FULL-SERVICE RESTAURANTS",130,9252,"CA","340 STOCKTON ST, SAN FRANCISCO, CA, 94108",37.78914095,-122.406572559293
"BOUCHE","603 BUSH ST","SAN FRANCISCO",94108,"FULL-SERVICE RESTAURANTS",6,427,"CA","603 BUSH ST, SAN FRANCISCO, CA, 94108",37.7902372,-122.4073165
