trt10,tpop17,pyoung17,white17,black17,asian17,hisp17,pwht17,pblk17,pasian17,phisp17,pcol17,pbiz17,pprof17,minc17,mhval17,mrent17,foreign17,pforeign17,tpop,pyoung,white,black,asian,hisp,pwht,pblk,pasian,phisp,pcol,pbiz,pprof,minc,mhval,mrent,foreign,pforeign,m_minc,gentable,gentable2,c_mhval,c_mrent,c_col,c_minc,m_c_mhval,m_c_mrent,m_c_col,m_c_minc,gent,gent2
020800,6458,35.369999,2486,180,1040,2351,38.490002,2.79,16.1,36.400002,57.41,16.51,34.759998,105039,1001000,1495,1742,26.969999,7371,42.400002,1726,163,1073,4193,23.42,2.21,14.56,56.889999,27.25,9.0699997,17.91,63015.454099309,612441.142826985,1165.85535565221,3931,53.330002,90298.188,1,1,388558.84,329.14465,30.16,42023.547,461054.94,495.1232,12.879997,22653.719,0,non-gentrifying
020900,4597,37,1937,111,606,1797,42.139999,2.4100001,13.18,39.09,56.66,21.379999,40.099998,132813,1067200,1775,1756,38.200001,5092,39.220001,1337,71,569,2944,26.26,1.39,11.17,57.82,31.24,9.1700001,21.16,65650.4279784527,576127.368188786,1149.41463637193,2618,51.41,90298.188,1,1,491072.63,625.58539,25.42,67162.57,461054.94,495.1232,12.879997,22653.719,1,gentrifying
021000,4523,32.57,2675,93,542,864,59.139999,2.0599999,11.98,19.1,77.519997,33.009998,47.450001,160789,1611100,1734,1054,23.299999,4559,43.689999,2573,130,386,1276,56.439999,2.8499999,8.4700003,27.99,54.34,18.719999,37.349998,80429.4005921488,885998.845050693,1325.1571767497,1086,23.82,90298.188,1,0,725101.13,408.84283,23.179996,80359.602,461054.94,495.1232,12.879997,22653.719,1,gentrifying
021100,4080,26.719999,2742,12,599,493,67.209999,.28999999,14.68,12.08,77.599998,39.860001,42.09,184620,2000001,2291,997,24.440001,3833,35.349998,3045,53,269,334,79.440002,1.38,7.02,8.71,72.07,25.82,46.220001,109657.946961003,1120606.9949766,1738.82773366071,592,15.38,90298.188,0,0,879394,552.17224,5.5299988,74962.055,461054.94,495.1232,12.879997,22653.719,,non-gentrifiable
021200,3105,21.77,2155,44,288,285,69.400002,1.42,9.2799997,9.1800003,82.349998,35.900002,42.720001,195375,1726100,2015,701,22.58,2882,29.08,2327,36,174,212,80.739998,1.25,6.04,7.3600001,70.400002,25.26,45.700001,135201.478851541,985258.1946681309,1801.71184321748,504,17.67,90298.188,0,0,740841.81,213.28816,11.949997,60173.52,461054.94,495.1232,12.879997,22653.719,,non-gentrifiable
021300,2590,14.98,1863,45,350,211,71.93,1.74,13.51,8.1499996,81.709999,34.07,44.049999,156458,1567900,2370,642,24.790001,2402,32.389999,1884,31,183,188,78.43,1.29,7.6199999,7.8299999,69.279999,28.91,39.700001,136811.634418144,929885.241420361,1899.07307584956,414,17.02,90298.188,0,0,638014.75,470.92691,12.43,19646.365,461054.94,495.1232,12.879997,22653.719,,non-gentrifiable
021400,3823,30.5,2669,9,616,409,69.809998,.23999999,16.110001,10.7,77.440002,28.889999,46.689999,195905,1467500,2628,806,21.08,3285,35.59,2463,50,261,386,74.980003,1.52,7.9499998,11.75,69.550003,23.860001,46.98,116394.568366282,911781.808030557,1850.40779391491,581,17.690001,90298.188,0,0,555718.19,777.59222,7.8899994,79510.43,461054.94,495.1232,12.879997,22653.719,,non-gentrifiable
021500,5674,24.059999,3449,189,742,826,60.790001,3.3299999,13.08,14.56,77.779999,29.26,40.950001,196500,1517400,2574,1244,21.92,5195,35.130001,3298,80,465,1182,63.48,1.54,8.9499998,22.75,60.110001,23.33,35.240002,102158.968020364,802099.780589762,1517.33365186064,1233,23.73,90298.188,0,0,715300.25,1056.6664,17.669998,94341.031,461054.94,495.1232,12.879997,22653.719,,non-gentrifiable
021600,4135,21.959999,2489,177,712,478,60.189999,4.2800002,17.219999,11.56,75.040001,35.029999,36.560001,147229,1114000,2510,1252,30.280001,3880,23.76,2463,265,643,341,63.48,6.8299999,16.57,8.79,67.839996,20.059999,44.91,124203.663412204,719028.142652257,1632.13075170132,607,15.64,90298.188,0,0,394971.84,877.86926,7.2000046,23025.336,461054.94,495.1232,12.879997,22653.719,,non-gentrifiable
021700,4556,14.95,2404,464,984,390,52.77,10.18,21.6,8.5600004,76.25,29.690001,42.529999,160417,1347000,1340,1141,25.040001,4139,20.17,2244,494,744,467,54.220001,11.94,17.98,11.28,55.450001,25.67,36,110651.597634344,690416.326101877,1401.85265209287,744,17.98,90298.188,0,0,656583.69,-61.852654,20.799999,49765.402,461054.94,495.1232,12.879997,22653.719,,non-gentrifiable
021800,4095,19.27,2662,134,479,652,65.010002,3.27,11.7,15.92,75.919998,36.700001,46.470001,176469,1431300,1966,660,16.120001,3914,27.77,2646,94,297,674,67.599998,2.4000001,7.5900002,17.219999,60.189999,26.43,36.490002,123313.406693874,703958.3147867071,1831.47552674688,737,18.83,90298.188,0,0,727341.69,134.52448,15.73,53155.594,461054.94,495.1232,12.879997,22653.719,,non-gentrifiable
022600,3213,42.509998,1719,140,824,308,53.5,4.3600001,25.65,9.5900002,82.410004,36.099998,41.27,203158,1111000,3207,805,25.049999,846,39.130001,578,98,81,60,68.32,11.58,9.5699997,7.0900002,61.689999,26.540001,33.43,132645.206362725,695142.84937836,1541.68700220302,82,8.7299995,90298.188,0,0,415857.16,1665.313,20.720005,70512.797,461054.94,495.1232,12.879997,22653.719,,non-gentrifiable
022702,2298,36.34,1534,44,291,317,66.75,1.91,12.66,13.79,85.43,33.080002,47.360001,193804,1387200,2470,411,17.889999,1805,36.009998,1307,41,146,229,72.410004,2.27,8.0900002,12.69,69.980003,20.85,51.139999,148323.477777128,935168.1273792729,2164.39361646657,274,14.68,90298.188,0,0,452031.88,305.60638,15.449997,45480.523,461054.94,495.1232,12.879997,22653.719,,non-gentrifiable
022704,3367,20.639999,2101,29,657,214,62.400002,.86000001,19.51,6.3600001,77.300003,31.07,48.16,192231,1218200,2215,623,18.5,2717,29.26,2124.415,88.88768,166.9113,243.9473,78.190002,3.27,6.1399999,8.9799995,65.910004,24.809999,40.099998,122955.769753795,784912.936896496,1789.06147027811,400.982188295165,15.09,90298.188,0,0,433287.06,425.93854,11.389999,69275.227,461054.94,495.1232,12.879997,22653.719,,non-gentrifiable
022801,5769,30.540001,2155,32,975,2355,37.349998,.55000001,16.9,40.82,52.099998,15.85,33,144318,1096400,1917,1905,33.02,4676,42.07,1236,92,383,2839,26.43,1.97,8.1899996,60.709999,30.059999,13.61,21.719999,95062.1939907631,548656.046255686,1277.29072488859,2423,52.43,90298.188,0,0,547743.94,639.70929,22.039999,49255.805,461054.94,495.1232,12.879997,22653.719,,non-gentrifiable
022802,2438,29.49,863,154,445,877,35.400002,6.3200002,18.25,35.970001,43.029999,18.309999,32.290001,113281,1037500,1964,725,29.74,1762,32.119999,613,103,259,689,34.790001,5.8499999,14.7,39.099998,29.049999,11.68,20.08,74542.6884674101,632447.647107183,1110.19612495057,722,39.740002,90298.188,1,0,405052.34,853.80389,13.98,38738.313,461054.94,495.1232,12.879997,22653.719,1,gentrifying
022803,5224,33.380001,1658,137,635,2665,31.74,2.6199999,12.16,51.009998,48.610001,20.33,28.190001,137807,1208700,2254,1931,36.959999,5178,38.84,1145,59,432,3391,22.110001,1.14,8.3400002,65.489998,27.57,9.46,20.049999,73348.5977635601,620658.505061842,1429.41410883749,2603,50.27,90298.188,1,1,588041.5,824.58588,21.040001,64458.402,461054.94,495.1232,12.879997,22653.719,1,gentrifying
022901,4856,35.5,1558,88,353,2710,32.080002,1.8099999,7.27,55.810001,49.060001,12.51,40.139999,88368,1001200,2103,1723,35.48,4965,42.919998,921,83,280,3564,18.549999,1.67,5.6399999,71.779999,23.17,8.3199997,15.84,79460.98132293391,618256.72514097,1476.34836763113,3048,61.48,90298.188,1,0,382943.28,626.65161,25.890001,8907.0186,461054.94,495.1232,12.879997,22653.719,1,gentrifying
