"nhood","pwhite","pblack","pasian","phisp","pwhite17","pblack17","pasian17","phisp17"
"Bayview Hunters Point",5.65798864382278,45.3222813840078,26.2724933744207,16.2968125420579,7.96212780546984,25.2894480048527,38.6449349895825,23.4433103884801
"Bernal Heights",38.5179508030047,6.56070877231794,16.8763558110475,33.3600042478573,47.7093018635515,4.07279373783129,17.058052211229,26.2764731592959
"Castro/Upper Market",77.0620016422834,2.86059893555587,7.25897971911243,9.03131567160392,68.8960981246111,3.1463869878233,14.389832014932,8.03039729801795
"Chinatown",10.4178272980501,1.01671309192201,84.7423398328691,1.991643454039,10.9502701205153,0.13159717412384,83.3841252251004,3.04751350602577
"Excelsior",16.9976110986068,2.112561338501,44.6794607427745,32.5356494900686,13.9045612979262,1.9534090624138,49.4771684345144,31.9616840943855
"Financial District/South Beach",60.3422948555876,6.5303842864455,22.8986736058815,6.30084358943184,44.2262153503273,2.86483725681386,40.920276733064,7.09941031712866
"Glen Park",60.7227120327828,7.30162672296039,12.9268595554452,14.1686328076493,58.5597040804531,6.91249566524101,16.911339729511,12.044850306323
"Golden Gate Park",66.4233576642336,7.2992700729927,5.10948905109489,18.978102189781,92.0634920634921,0,7.93650793650794,0
"Haight Ashbury",74.8721265212535,7.87230289846552,6.42013051913693,6.53183608677759,72.0311284046693,4.59662775616083,10.609597924773,7.53826199740597
"Hayes Valley",58.2737215489211,18.3978717114987,7.99881761749926,10.1093703813184,58.8859012734006,6.2807569377505,15.3467606919994,13.4138298412054
"Inner Richmond",47.4777999907016,1.58538286298759,43.0563949974429,4.44465107629364,48.5202906255538,1.87843345738083,37.0724791777423,8.12068048910154
"Inner Sunset",57.2405128773602,1.90296715072239,31.2049661900011,5.52414735986402,48.7863502488236,2.44761163207962,34.5306205355632,8.70036223298013
"Japantown",44.3887496519075,17.4881648565859,29.3233082706767,5.45808966861598,46.2123345536469,1.63334272036046,32.7513376513658,9.26499577583779
"Lakeshore",46.4850194684824,6.21040093409519,32.5630443447771,8.54785528888236,36.0313492331599,6.33065333423417,27.3022093101817,23.1065468549422
"Lincoln Park",64.0692640692641,9.09090909090909,16.017316017316,8.22510822510823,46.7948717948718,16.025641025641,33.6538461538462,3.52564102564103
"Lone Mountain/USF",58.5746102449889,8.18654248498347,20.8881689950732,7.30917189714517,52.0902868133733,5.12530406743226,22.6056457543701,11.7157888782033
"Marina",83.4839916284455,0.503183862492764,9.65400543260453,3.91859999109409,78.6285714285714,0.776354679802956,10.5064039408867,7.12906403940887
"McLaren Park",3.88349514563107,15.7766990291262,53.6407766990291,21.6019417475728,0,22.4852071005917,50.887573964497,19.9211045364891
"Mission",32.5255049074064,2.97332473386059,11.0112636552599,50.0730764346067,41.0906925302025,3.66003062787136,14.4682661221712,35.667857750553
"Mission Bay",54.1420068671592,10.3550288533693,24.2603531385926,6.95266214261166,36.7720465890183,2.223566782635,44.8570564211163,12.600211768265
"Nob Hill",51.6034877706348,2.1133525456292,36.2336510751496,6.31050025862706,47.9636982416336,3.7133673662318,32.9551900170164,10.682548685952
"Noe Valley",72.0771057410253,2.39791404758579,9.28900684453136,12.3061880150859,65.6513008928953,2.03357969838083,14.1282522322382,11.5435553466912
"North Beach",50.6615627860531,1.91395523009071,40.9087126570692,4.21070150619955,47.1148979247511,2.60671503290029,37.6919183398009,8.14914796693099
"Oceanview/Merced/Ingleside",13.1710530701754,24.6622798245614,44.5438596491228,13.7982447368421,13.3636033418089,10.2324736650926,57.7588085724664,14.9291681801671
"Outer Mission",17.6543268525188,1.65813851652454,49.7634019503743,27.973630623429,12.0038335596198,1.24990016771823,54.9197348454596,28.5879722066928
"Outer Richmond",45.0240050253511,1.46273612419796,45.358280612016,4.39493875353345,41.0160928551208,1.88366978071035,43.8470416585005,6.54166938873282
"Pacific Heights",77.7763413057531,3.22775263951735,12.2430510665805,4.02930402930403,64.9944396391944,3.11380205115532,18.756950451007,8.09753284731661
"Portola",17.1698113207547,7.2804163955758,50.5855562784645,21.327260897853,15.0450064294899,4.18223011450615,54.5281979058233,24.1932520972384
"Potrero Hill",59.447922595333,15.9836812749004,7.73098083855056,11.2407512805919,51.658861552668,5.44818943341468,20.8825275377614,14.6692170701141
"Presidio",71.7547000895255,4.56580125335721,7.52014324082363,9.4449418084154,68.8594415522953,2.10601041173687,8.40037860861335,13.9138665404638
"Presidio Heights",73.5237710709599,3.26032098516201,15.7969112748562,4.24952054103159,67.7751535191309,1.05810108644308,18.5829003306566,6.16910722720831
"Russian Hill",61.579681830868,1.07172760256768,31.1415026514095,3.56126151269886,63.6859804840399,1.43337559953691,27.2451623573516,5.80517117812448
"Seacliff",76.4177886576907,0.448796409628723,17.5846593227254,3.10077519379845,68.0095731950538,0,18.4284004786598,4.14838452333466
"South of Market",34.498503480138,14.7940790614034,33.385102323462,12.0128866683829,29.8445423559731,8.68733893091695,38.7023027683099,16.7802809876133
"Sunset/Parkside",38.0736719033476,1.12348980661461,52.7233876711776,4.7264517342866,32.2307152705547,1.44287753078058,52.8059311579304,7.4828862388428
"Tenderloin",36.3416797089511,9.9370143465129,30.8797971581549,16.4522624931356,31.8341297156414,9.38951448524744,28.8635680155044,24.1153473452067
"Treasure Island",61.8031658637302,12.1128699242946,11.3558155540262,10.1858224363386,27.9255319148936,22.2406914893617,10.3058510638298,26.030585106383
"Twin Peaks",66.5088065169373,6.66369852343441,15.2766931837208,7.59227067880782,57.4416217603285,3.28457788042084,19.9640749294329,13.8824736977162
"Visitacion Valley",7.00005640822337,19.544656510166,49.3855122614261,17.902248400068,5.64924987066736,11.2415933781687,53.3781686497672,24.1076047594413
"West of Twin Peaks",54.619111204246,3.05897987820992,29.7018936749449,8.75662478467202,48.5282706533547,2.43391443794941,33.671305157519,10.3615953649578
"Western Addition",42.6442933603356,26.8093934133758,18.8726553835768,6.63966440040503,39.2842924757818,17.0257000044234,27.1154952006016,9.29800504268589
